yyyy,public,all_stock,horz,domestic,relsize,bidder_mtb,bidder_lev,bidder_tang,bidder_cash,bidder_rd,rate,post,lbidder_size,med_mtb_sect
2010,1,0,1,0,.63262862,3.9788158,.12954795,.72210479,.13124089,0,.0502,1,8.4353323,2.6927767
2010,0,0,0,1,.38861552,1.9362018,.05474253,1.3827056,.0084923748,0,.052900001,1,9.0985146,2.6927767
2014,0,0,1,1,.049777117,1.4959608,.31213552,.98859072,.06455157,0,.0392,1,6.5117455,.66430008
2014,0,0,0,1,.11196068,1.7898092,.54432952,.99130207,.046445627,0,.041100003,1,7.5126176,.66430008
1993,0,0,0,1,1.7532005,1.7495667,.74676675,.6554538,.022469368,0,.068499997,0,4.4152908,1.6664217
1993,1,1,0,1,.05367513,1.1970204,.050089445,1.0181386,.019969214,0,.069200002,0,2.9735956,1.6664217
1993,1,0,0,1,1.4757143,1.115469,.52502865,1.1969062,.004125061,0,.077100001,0,3.3322046,1.6664217
1993,0,0,1,1,1.3208989,1.0100458,.44466782,1.6741102,.16771898,0,.074299999,0,3.447381,1.6664217
1993,0,1,0,1,.96875,.78784311,0,1.6741102,.012995624,0,.073299997,0,2.0794415,1.6664217
1993,0,0,1,1,.99583334,.91989362,.11534268,1.2832249,.016748751,0,.069299996,0,3.1780539,1.6664217
1993,0,0,0,1,12.17,.78784311,0,1.6741102,.012995624,0,.074600004,0,.33208764,1.6664217
1994,1,0,1,0,.77354014,1.3365773,.51231247,1.0374026,.0082283197,0,.079700001,0,6.3690872,1.5675306
1994,1,1,0,1,.16915323,1.905072,.16136469,.87013322,.14772435,0,.083400004,0,6.2065759,1.5675306
1994,1,0,1,1,3.5734482,1.4285995,.29889852,.96530288,.012667191,0,.084600002,0,3.3672957,1.5675306
1994,1,1,1,1,1.0823404,2.1868777,.32792971,1.1734031,.10085434,0,.081099994,0,4.5432949,1.5675306
1994,0,0,0,1,.65916795,1.4462993,0,.92264605,.080554813,0,.070799999,0,1.9622096,1.5675306
1994,0,0,1,1,.73268408,1.2507982,.3605437,1.1184472,.020837311,0,.079700001,0,4.344573,1.5675306
1994,0,0,1,1,.39329383,1.632259,.37977442,1.569837,.006510098,0,.0748,0,6.0531664,1.5675306
1994,1,1,1,1,.033623051,2.0059466,0,.6900692,.087434731,0,.084600002,0,4.7788377,1.5675306
1994,0,1,0,1,.73164356,.66340572,.001377066,.61467201,.084126189,0,.079700001,0,2.663837,1.5675306
1994,1,0,0,1,.31018347,1.175962,.28561878,1.0512851,.002733621,0,.086800002,0,7.8902082,1.5675306
1994,0,1,1,1,.51861161,1.8966094,.074706733,.95595801,.010907594,0,.079899997,0,1.5728908,1.5675306
1994,1,0,1,1,.53460413,1.3429093,.26848143,1.2527424,.001442211,0,.083400004,0,5.8318825,1.5675306
1994,0,0,1,1,2.1457012,3.9972525,.22912548,.82180172,.053798363,0,.086800002,0,2.4024305,1.5675306
1994,1,0,1,1,.404625,1.3691359,.40204105,1.0788388,.026449896,0,.083400004,0,4.3820267,1.5675306
1994,0,1,1,1,1.0509894,1.3423475,.40621403,1.0947449,.14883007,0,.081099994,0,.42027161,1.5675306
1994,1,0,1,1,.18353261,1.8998898,.28015816,1.4500741,.068463646,0,.070799999,0,5.908083,1.5675306
1994,0,0,1,1,.041871049,1.905072,.16136469,.87013322,.14772435,0,.084600002,0,6.1688929,1.5675306
1994,1,1,1,1,.61596924,1.180266,.25443202,1.2644297,.0097975451,0,.081099994,0,5.7838254,1.5675306
1995,0,0,1,1,.44046468,1.2239808,.11028735,1.5221742,.00016569201,0,.076499999,0,6.9402223,1.8529508
1995,0,1,1,1,.50999999,1.7027586,.33803168,.67396337,.041751202,0,.073200002,0,3.5553482,1.8529508
1995,0,1,1,1,.049367089,1.6571612,0,1.6741102,.16636257,0,.068099998,0,5.46806,1.8529508
1995,0,0,1,1,.015625829,1.2123845,.48223287,1.6572908,.0064481851,0,.080299996,0,5.916688,1.8529508
1995,1,1,1,1,.27868998,1.1551672,.19007432,1.0897721,.0053410879,0,.068099998,0,3.8751464,1.8529508
1995,0,0,1,0,.097879715,1.4518865,.45750359,1.2754395,.001057015,0,.070199996,0,5.9338522,1.8529508
1995,0,0,0,1,1.2672222,1.0085841,.32624465,1.6741102,.012010739,0,.076499999,0,2.8903718,1.8529508
1995,0,0,0,1,.72274315,.67769659,.052150507,.68548965,.17864405,0,.071199998,0,2.9049182,1.8529508
1995,1,0,1,1,1.3682927,1.3650522,.51442975,.96568751,.014284,0,.072999999,0,4.4067192,1.8529508
1996,0,1,1,1,.91924584,.94792634,.34907836,.60892332,.030631376,.001881446,.069899999,0,4.7120137,2.3918734
1996,1,0,1,0,.22041096,1.361854,.28643689,.9888041,.032307461,0,.0735,0,3.5028718,2.3918734
1996,0,1,0,1,1.2466667,1.1803907,.021033753,1.1353334,.013044187,0,.076200001,0,1.0986123,2.3918734
1996,1,0,1,1,1.0509459,1.1253479,.46688926,1.3139677,.0090150246,0,.074200004,0,1.4387089,2.3918734
1996,1,1,0,1,.094198778,2.1097357,.054845609,.91509902,.047962487,.024269182,.074600004,0,8.7368107,2.3918734
1996,1,0,1,1,1.4273758,1.0689491,.41556296,1.2575665,.00038730301,0,.0735,0,4.94876,2.3918734
1996,1,0,0,0,.66997516,1.5137968,.23732458,1.1526911,.036082376,0,.071000002,0,5.9989367,2.3918734
1996,0,1,0,1,.037527595,1.7307886,.08821962,1.0214937,.020629933,0,.074200004,0,7.5021863,2.3918734
1996,1,0,1,1,.16000001,1.4289634,.32032853,1.5702046,.036465339,0,.074600004,0,2.7080503,2.3918734
1996,1,0,0,1,.29054871,1.4948235,.23150194,.83897841,.00868023,0,.074600004,0,9.2090397,2.3918734
1996,1,1,1,1,.55404764,1.5653431,.29472482,1.2538022,.056337062,0,.076200001,0,3.7376697,2.3918734
1996,0,0,1,1,.26923078,1.1318928,.25466838,1.1137681,.066528127,0,.0766,0,3.9512436,2.3918734
1997,1,0,1,1,1.3976121,2.9449487,.44829166,.80796635,.13043638,0,.0722,0,7.5234814,2.5105407
1997,1,1,1,1,2.394037,3.0419142,.61674803,1.1969569,.012500271,0,.066100001,0,6.0661082,2.5105407
1997,1,0,1,1,.19583555,1.9719956,.46581388,1.1409549,.016502112,0,.071400002,0,6.6253924,2.5105407
1997,1,0,1,1,.12594564,2.5792859,.3913238,1.6741102,.020796064,0,.071400002,0,6.7833252,2.5105407
1997,1,0,1,1,.58862323,3.8383663,.46901029,.95541245,.090223379,0,.067600004,0,6.4621878,2.5105407
1997,0,0,1,1,.012884615,1.3638742,.37260315,.78972578,.026618032,0,.068700001,0,6.253829,2.5105407
1997,1,0,1,0,.88381535,1.632054,.26745343,1.2613394,.015594254,0,.07,0,7.2135925,2.5105407
1997,1,0,0,1,.08469905,1.8273752,.16828023,.0067895032,.059565354,.031729765,.073100001,0,8.2395935,2.5105407
1997,1,1,0,1,.035480421,2.2149224,.045079567,.80259657,.048144978,.03004553,.071400002,0,9.172327,2.5105407
1997,1,0,1,1,.61905622,1.2895248,.46878532,1.2577763,.01056279,0,.071400002,0,6.0980744,2.5105407
1997,1,0,1,1,.53298217,1.9174687,.31209454,1.4661723,.015755329,0,.0722,0,8.6202908,2.5105407
1997,1,0,0,1,.10341464,1.6063998,.28738964,1.0194992,.03136564,0,.073100001,0,4.8121843,2.5105407
1997,1,1,1,0,.25291961,1.9719956,.46581388,1.1409549,.016502112,0,.066100001,0,6.7405195,2.5105407
1997,1,1,1,1,1.2803051,2.6279476,0,.92975152,.16721544,0,.0722,0,5.206512,2.5105407
1997,1,0,1,1,.210291,2.0624533,.031373836,.94606596,.03036022,0,.07,0,5.9348941,2.5105407
1997,1,1,0,1,.48913044,2.4036434,.15992783,1.0592554,.019314362,0,.07,0,3.8286414,2.5105407
1998,1,0,1,1,.54303032,3.8830571,.43843114,1.6741102,.041958041,0,.0669,0,3.4965076,1.3379691
1998,1,0,1,1,.093450822,2.2462523,.514588,1.6741102,.02903563,0,.065300003,0,7.106606,1.3379691
1998,1,0,1,1,1.4622207,1.510044,.17829457,1.4864341,.016472869,0,.064099997,0,7.6722922,1.3379691
1998,1,0,1,0,.72359192,1.8278627,.17662981,1.3035409,.049697366,0,.065499999,0,7.0783415,1.3379691
1998,1,1,1,1,1.3589189,1.1300408,.2706477,1.6741102,.048629981,0,.062399998,0,3.6109178,1.3379691
1998,1,1,0,1,.22778235,3.6040809,.18595126,.95362377,.003175254,0,.064099997,0,7.2868762,1.3379691
1998,0,0,1,0,.16620554,1.5453854,.30986232,1.6741102,.012032316,0,.066700004,0,7.4792995,1.3379691
1998,1,0,0,1,1.1813805,1.4557178,.53972417,.70996112,.13028632,0,.065499999,0,5.6937323,1.3379691
1998,1,1,1,1,.44481513,2.1104729,.073388577,1.330134,.042128164,.005506746,.062399998,0,12.086614,1.3379691
1998,0,0,0,0,.56657863,1.1683713,.54582685,.58066583,.2859225,0,.0669,0,3.8812339,1.3379691
1998,1,1,1,1,.14216039,4.1905026,.35895044,1.0407592,.028780336,0,.064000003,0,8.0646362,1.3379691
1998,1,0,1,1,.12585688,3.6040809,.18595126,.95362377,.003175254,0,.064099997,0,7.3733745,1.3379691
1998,1,0,1,1,2.20625,1.8509442,.0071276501,.68434691,.2146626,0,.062399998,0,2.7725887,1.3379691
1998,1,0,1,0,1.055532,1.5373899,.66909093,.8801778,.16179393,0,.065300003,0,3.8501475,1.3379691
1998,1,0,0,0,.14365871,1.3181627,.26701391,.58671337,.007258133,0,.065200001,0,9.6485949,1.3379691
1998,1,0,1,0,.57503587,1.9592358,.27516666,1.6578869,.015786417,0,.066700004,0,8.6990147,1.3379691
1998,1,1,0,1,.62752885,2.9671805,.096180618,.71176153,.039496697,.029394967,.067199998,0,9.4256935,1.3379691
1998,1,0,0,1,.032312386,2.3526561,.30099452,.0067895032,.014375037,.025400018,.0669,0,8.1993389,1.3379691
1999,1,1,1,1,.03710204,.98050058,.32681203,1.6741102,.0019994259,0,.077800006,0,5.5012584,1.7066764
1999,1,0,1,0,.34064654,1.5635022,.32753083,1.6741102,0,0,.073899999,0,8.9166403,1.7066764
1999,0,0,1,1,4.3499999,1.4903336,.74676675,1.4646068,0,0,.073600002,0,3.6109178,1.7066764
1999,1,1,0,0,.086077683,1.9702246,.15731154,.78824425,.083782315,.012949069,.066199996,0,5.6765676,1.7066764
1999,1,1,1,0,.028409092,1.5796367,.002499159,.24064016,.012015187,0,.074000001,0,3.7841897,1.7066764
1999,1,0,1,1,1.6558738,1.7853178,.45237353,1.6741102,0,0,.072300002,0,7.2855067,1.7066764
1999,1,0,0,1,.12228915,.87899721,.13668898,.91317594,.044543169,0,.069299996,0,5.1119876,1.7066764
1999,1,1,1,1,.2676923,.90443081,.13959543,1.1690533,.010781761,0,.072300002,0,3.2580965,1.7066764
1999,1,1,1,1,.026905829,1.6090568,.38732395,1.6741102,.029929576,0,.077800006,0,9.0707331,1.7066764
1999,0,1,0,1,.27621332,1.5950122,.076450042,.33267537,.01153963,0,.073899999,0,3.0305505,1.7066764
2000,1,0,1,1,.47201404,1.8775179,.22637853,1.6679775,.031407759,0,.074499995,0,6.9057531,2.3296919
2000,0,0,0,0,.038791846,1.2753687,.53531361,1.3306795,.036542896,0,.072099999,0,7.2254815,2.3296919
2000,1,0,1,0,.09122292,1.1309857,.15103514,1.0537871,.02332654,0,.071500003,0,6.8726945,2.3296919
2000,1,1,1,1,.13027322,1.0567096,.33925715,1.3648823,.034417637,0,.076200001,0,5.209486,2.3296919
2000,0,1,1,1,.04509978,2.1512887,.21163394,1.0841372,.037213713,0,.076799996,0,6.1114674,2.3296919
2000,1,0,1,0,.043121535,1.6234239,.16076986,1.6741102,.013957018,0,.074499995,0,8.0291071,2.3296919
2000,1,0,1,1,.82220542,1.1743449,.38655832,1.0760627,0,0,.076700002,0,8.3349514,2.3296919
2000,1,1,0,1,.017973287,1.9508085,.20697331,.76781255,.0076401639,0,.076499999,0,7.4512415,2.3296919
2000,0,1,0,1,.046815682,1.9508085,.20697331,.76781255,.0076401639,0,.076700002,0,7.2820735,2.3296919
2000,1,1,1,1,.79041618,1.487735,.46456981,1.6741102,.0039434941,0,.075500004,0,6.7056389,2.3296919
2000,1,0,1,1,3.3398058,1.7912639,.74676675,1.6741102,.0454515,0,.076499999,0,4.6347289,2.3296919
2000,0,0,0,1,.63872945,1.5820197,.54814893,1.6741102,.0066094138,0,.072099999,0,7.0535855,2.3296919
2001,1,0,1,1,1.0091908,1.6972439,.00029356801,1.15101,.036522049,0,.0713,0,6.9450512,1.6286523
2001,0,0,0,1,.066876478,1.630738,.61187887,.90870154,.023066014,0,.069699995,1,7.1475592,1.6286523
2001,1,0,1,1,.25429329,1.4815449,.29272109,1.665797,.018784242,0,.071800001,0,8.8204041,1.6286523
2001,1,0,1,1,1.0867655,1.7463397,.60555363,1.2306123,.000028516,0,.065499999,1,5.8200831,1.6286523
2001,1,0,1,1,.55192494,1.6656904,.29864332,1.4152588,0,0,.071699999,1,8.7509995,1.6286523
2001,1,0,1,1,.048274934,1.6069956,.35723913,1.6741102,.0079708686,0,.071000002,0,7.862112,1.6286523
2001,1,0,0,0,.011166913,3.1878226,.27249378,.77066869,.06290096,0,.070300005,1,8.3094311,1.6286523
2001,0,0,1,0,.74187499,.92094219,.58708781,1.3218051,.16087903,0,.071800001,0,3.871201,1.6286523
2001,1,0,1,0,.44267535,1.5419651,.34685448,1.3246377,.014574151,0,.071999997,0,7.1115122,1.6286523
2001,0,1,0,1,.021176472,2.4741788,.29071134,1.0027925,.02079659,0,.071999997,0,3.9318256,1.6286523
2001,1,0,1,0,.25832844,1.9507374,.30655476,1.6741102,.017585931,0,.069699995,1,8.9666119,1.6286523
2001,0,0,1,0,.2982558,1.5579187,.41503537,.89152306,.08010003,0,.069799997,0,5.1474943,1.6286523
2001,1,1,0,1,.73325676,1.4111515,.35457605,1.1888927,.007265103,.0020966399,.067699999,1,9.9490347,1.6286523
2001,0,1,0,1,.035883598,1.3222024,.22065747,1.0469918,.070535198,.0135925,.071000002,0,6.8511848,1.6286523
2001,0,0,0,1,.24768518,1.4752339,.29919454,1.0688637,.017412193,0,.071000002,0,5.3752785,1.6286523
2001,1,0,0,1,.65818006,1.4111515,.35457605,1.1888927,.007265103,.0020966399,.069799997,0,9.5654945,1.6286523
2001,1,0,1,1,.53153414,1.5363226,.47761926,1.3620313,.014502072,0,.069699995,1,5.1704841,1.6286523
2001,1,0,1,0,.70594239,1.6656904,.29864332,1.4152588,0,0,.070300005,1,8.773694,1.6286523
2002,1,0,1,1,.36546203,1.5146468,.34410903,1.4731662,.015997633,0,.066300005,1,7.4377952,1.5459541
2002,0,0,1,1,.093411282,1.69451,.16976319,1.6741102,.00055117899,0,.063100003,1,6.5889263,1.5459541
2002,1,0,1,1,.14658643,1.2062026,.58136767,.79827732,.051423669,0,.067600004,1,6.8178306,1.5459541
2002,0,1,0,1,.010275285,2.2725954,0,1.060495,.038618188,0,.067600004,1,7.4211774,1.5459541
2002,0,0,1,1,.45277533,1.1110879,.6732983,1.2971665,.0084661813,0,.063200004,1,5.4249501,1.5459541
2003,1,0,1,1,.81044376,1.1567425,.46607089,1.1578429,0,0,.058899999,1,8.8120995,2.0060487
2003,1,0,0,1,1.287418,1.1132079,.42326096,1.2172506,.001866105,0,.058899999,1,5.4971681,2.0060487
2003,1,1,1,1,.093690343,1.8934309,.3889505,1.0792503,.001435491,0,.057399999,1,6.7557688,2.0060487
2003,1,1,1,1,.51071429,.72863573,.23955594,1.6256968,.030008763,0,.049699999,1,3.7376697,2.0060487
2003,1,0,1,1,.19427402,1.6616931,.052753288,1.4732679,.000859619,0,.058800001,1,6.8855095,2.0060487
2003,0,0,1,1,.39512712,1.4957191,.15649766,1.2888988,.015929218,0,.049699999,1,6.8501263,2.0060487
2003,0,0,0,1,.68965518,1.7439641,.24398865,1.2729367,.031650115,0,.057399999,1,4.0604429,2.0060487
2003,0,0,1,1,.044769403,1.777295,.27812931,1.5525163,.0026700411,0,.058899999,1,6.7900972,2.0060487
2003,1,0,1,1,.035333846,2.7805197,0,1.082466,.087165214,0,.049699999,1,7.865572,2.0060487
2004,1,1,1,1,.50790685,1.5185516,.39363095,1.3137716,.0048838789,0,.060100004,1,8.225771,2.3145444
2004,1,0,1,1,.11877608,1.1282885,.34654531,1.6741102,.0042887251,0,.060100004,1,7.2710085,2.3145444
2004,1,0,0,1,.26446041,1.1592847,.35059157,1.1562603,.099918887,0,.053300001,1,5.6276212,2.3145444
2004,0,0,1,1,.40960452,1.3532355,.43149486,1.6741102,.000760158,0,.058200002,1,6.5624442,2.3145444
2004,1,0,1,1,1.3869441,1.224595,.41204378,.97267151,.001162897,0,.053300001,1,6.4377518,2.3145444
2004,1,0,1,1,.85354805,1.5162793,.27299219,1.3807498,.021942209,0,.053600002,1,8.149313,2.3145444
2004,0,0,1,1,.0656,1.9117019,.44397613,1.4108921,.10272587,0,.057300001,1,6.652863,2.3145444
2004,1,1,1,1,.49782875,1.201787,.30283076,1.4107529,.013957146,0,.060399998,1,8.5581436,2.3145444
2004,1,0,1,1,.20643939,2.0502398,.0000129,.8488012,.053866453,0,.058200002,1,6.2690964,2.3145444
2005,1,1,1,1,.17548099,2.2141924,.25533178,1.019435,.007619984,0,.0537,1,6.7957058,3.0498946
2005,1,0,1,1,.14389667,1.7018161,.11217921,1.1152905,.099680282,.0025963441,.0515,1,11.775928,3.0498946
2005,1,0,1,1,.10362852,1.5891725,.15758964,1.0873264,.067738771,0,.054200001,1,10.446364,3.0498946
2005,1,0,1,1,.40279278,1.1895761,.15474741,.74467212,.014936303,.001356867,.052900001,1,11.383659,3.0498946
2005,1,0,1,1,1.3950032,1.796798,0,1.5322838,.10470525,0,.051999997,1,7.3683395,3.0498946
2005,0,0,1,1,.096673936,2.0822604,.33430567,1.151885,.0015874651,0,.051999997,1,9.0732603,3.0498946
2005,0,0,1,0,.57673824,1.4024495,.21688491,1.4509606,.024835763,0,.050900001,1,8.0459089,3.0498946
2005,1,0,1,1,.98176754,1.1748914,.44833478,1.0030681,.010595302,0,.0515,1,6.0234475,3.0498946
2006,0,0,0,1,.01026694,1.8359592,.23994228,.84870523,.066092238,0,.059499998,1,6.8814111,2.4688292
2006,1,0,1,1,.16874759,2.0472555,.19739895,.72789699,.049630441,0,.055100001,1,7.861342,2.4688292
2006,0,0,0,1,.011261261,2.0690002,.21637201,.72496665,.0033473209,.00178854,.058400001,1,7.194437,2.4688292
2006,0,1,1,1,1.7617857,2.4406905,.012993197,1.6741102,.11360544,0,.055100001,1,3.3322046,2.4688292
2006,0,0,1,1,.022346368,1.8359592,.23994228,.84870523,.066092238,0,.055100001,1,6.7968235,2.4688292
2006,1,0,1,1,.1264382,2.3238885,.30517709,1.2943633,.002352667,0,.058899999,1,8.177516,2.4688292
2006,1,0,1,1,1.4330249,1.3162587,.35158852,.89634752,.0091556078,0,.059499998,1,7.0246491,2.4688292
2006,1,1,1,1,.11284133,3.1242597,.32306162,.5340507,.31143638,0,.055100001,1,5.602119,2.4688292
2007,1,0,1,1,.51163679,2.9908724,.46892977,.65006536,.050104722,0,.057300001,1,7.113142,2.2278061
2007,0,0,0,1,2.7869565,4.0224915,.74676675,1.6741102,.070292376,0,.054699998,1,4.7449322,2.2278061
2007,0,0,1,1,.045086209,1.1838372,.13283439,.88380849,.021986039,0,.0539,1,6.1398845,2.2278061
2007,1,0,1,1,.73255956,1.1959093,.37776163,1.5952754,.010399263,0,.0539,1,7.6889133,2.2278061
2007,1,0,0,1,1.4620812,2.3117909,.74676675,1.1833792,.041558202,0,.054400001,1,5.2832036,2.2278061
2007,1,0,0,1,.59625816,1.4919868,.47261792,.58823174,.030859901,0,.056599997,1,7.116394,2.2278061
2007,1,0,1,1,2.9288688,1.8752038,.15167253,.73861468,.12016889,0,.054699998,1,6.72263,2.2278061
2007,0,0,1,1,.28666463,1.9388027,.095606253,1.1398722,.000364968,0,.054699998,1,8.1010714,2.2278061
2007,0,0,0,1,.3659218,2.0430925,.65611476,.78216934,.0090209609,0,.053300001,1,7.4899707,2.2278061
2007,1,0,1,1,.9634828,1.9388027,.095606253,1.1398722,.000364968,0,.0579,1,8.2109394,2.2278061
2007,0,0,0,1,.063375004,1.7093107,.31489965,.80778265,.064507827,0,.054699998,1,6.779922,2.2278061
2007,0,0,1,1,.65743947,1.048726,.3605296,1.6741102,.003031044,0,.054699998,1,5.6664267,2.2278061
2008,0,0,1,1,.051757578,1.744344,.22841576,1.0662862,.019942772,0,.062800005,1,6.7153835,.95414209
2008,1,0,0,0,1.5556715,1.50176,0,.0067895032,.0020248599,0,.056799997,1,6.212606,.95414209
2008,1,0,1,1,1.1077886,1.2200266,.21168467,1.6741102,.25144222,0,.0557,1,7.3408356,.95414209
2008,0,0,1,1,.1291416,1.8975637,.33400273,1.1149455,0,0,.056700002,1,10.387641,.95414209
2008,0,0,0,1,.26298702,1.1950134,.2110804,.59548831,.081402957,0,.0557,1,4.3438053,.95414209
2008,0,0,1,1,.025888888,1.326026,.35528401,.76809818,.080395482,0,.055300001,1,6.8023949,.95414209
2008,0,0,1,1,.27303755,1.5221353,.21575238,1.03572,.020172004,0,.056700002,1,7.6260829,.95414209
2008,0,0,0,1,.30409768,1.3591837,.35223275,.80783784,.042580813,0,.062800005,1,6.6025877,.95414209
2008,0,0,1,1,.43185589,1.4188765,.17083079,1.041038,.042953409,0,.056799997,1,7.1522689,.95414209
2008,0,0,1,1,12.17,.81038374,.04103839,.0067895032,.006665586,.0024500531,.056799997,1,1.7917595,.95414209
2009,0,0,1,1,.058749996,.65037608,.34865808,.0067895032,.099245928,0,.0515,1,3.6888795,1.5618695
2009,1,0,1,1,.81300861,1.2404919,.23756112,1.2791911,.0047550281,0,.052600004,1,8.154788,1.5618695
2009,1,1,1,1,.26694444,1.055962,.149527,.94381618,0,0,.0539,1,3.583519,1.5618695
2009,0,0,1,0,.12117647,.82241261,.13458532,1.1797957,.28340247,0,.051899999,1,4.4426513,1.5618695
2010,1,1,1,1,.065900475,1.6070768,.19524211,.0067895032,.034272499,0,.0504,1,6.0450053,2.1291642
